,company_location,company_industry,company_name
0,"VIALE REGINA MARGHERITA 137, ROMA, 00198, ROMA, ITALY","Finance, Insurance, and Real Estate",Enel Spa
1,"VIA GIAMBOLOGNA 1, PIOLTELLO, 20096, MILANO, ITALY",Retail Trade,Esselunga Spa
2,"VIA VITTOR PISANI 20, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Superit Srl
3,"GALLERIA PASSARELLA 2, MILANO, 20122, MILANO, ITALY",Manufacturing,Saras Spa
4,"PIAZZA GAE AULENTI 3 TOWER A, MILANO, 20154, MILANO, ITALY","Finance, Insurance, and Real Estate",Unicredit Spa
5,"VIALE UNGHERIA 46, MILANO, 20138, MILANO, ITALY",Services,Send To Me Srl
6,"CORSO INGHILTERRA 3, TORINO, 10138, TORINO, ITALY","Finance, Insurance, and Real Estate",Intesa Sanpaolo Vita Spa
7,"VIA STALINGRADO 45, BOLOGNA, 40128, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Unipolsai Assicurazioni Spa
8,"VIA ROMBON 11, MILANO, 20134, MILANO, ITALY",Wholesale Trade,Totalenergies Petrochemicals & Refining Sa Nv
9,"PIAZZA MINGHETTI 4/D, BOLOGNA, 40124, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Sanastera Spa
10,"VIALE CARLO BERTI PICHAT 2/4, BOLOGNA, 40127, BOLOGNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Hera Spa
11,"VIALE CASSALA 57, MILANO, 20143, MILANO, ITALY",Wholesale Trade,Esso Italiana Srl
12,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Poste Italiane Spa
13,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",A2a Spa
14,"VIALE DELL'INNOVAZIONE 3, MILANO, 20126, MILANO, ITALY","Finance, Insurance, and Real Estate",Arrow Electronics Emeasa Srl
15,"FORO BUONAPARTE 31, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Edison Spa
16,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY","Finance, Insurance, and Real Estate",Ferrovie Dello Stato Italiane Spa
17,"VIA CHIESE 6, MILANO, 20126, MILANO, ITALY",Wholesale Trade,Prysmian Spa
18,"PIAZZA MONTE GRAPPA 4, ROMA, 00195, ROMA, ITALY",Manufacturing,Leonardo Spa
19,"VIA MAROCCHESA 14, MOGLIANO VENETO, 31021, TREVISO, ITALY","Finance, Insurance, and Real Estate",Generali Italia Spa
20,"VIA SAN GIOVANNI SUL MURO 9, MILANO, 20121, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Enel Energia Spa
21,"VIA MONTE DI PIETA' 8, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Intesa Sanpaolo Spa
22,"VIA GAETANO NEGRI 1, MILANO, 20123, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Telecom Italia Spa
23,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY","Finance, Insurance, and Real Estate",Poste Vita Spa
24,"CORSO GIOVANNI AGNELLI 200, TORINO, 10135, TORINO, ITALY",Manufacturing,Fca Italy S.p.a. In Forma Fiat Chrysler Automobiles E In Forma Abbreviato Fiat Group Autom
25,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY","Finance, Insurance, and Real Estate",Enel Italia Spa
26,"VIALE MARESCIALLO PILSUDSKI 122/124, ROMA, 00197, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Gestore Dei Mercati Energetici Spa
27,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",Retail Trade,Amazon Eu S.a Rl
28,"VIALE MARESCIALLO PILSUDSKI 92, ROMA, 00197, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Gestore Dei Servizi Energetici - Gse Spa
29,"PIAZZALE ENRICO MATTEI 1, ROMA, 00144, ROMA, ITALY",Manufacturing,Eni Spa
30,"VIA PUGLIA 35, TORINO, 10156, TORINO, ITALY",Manufacturing,Iveco Spa
31,"VIA AUGUSTO RUFFO 36, ARCOLE, 37040, VERONA, ITALY",Wholesale Trade,Lidl Italia Srl
32,"CENTRO DIREZIONALE MILANOFIORI SNC, ROZZANO, 20089, MILANO, ITALY",Construction,Webuild Spa
33,"PIAZZA DI SAN SILVESTRO 8, ROMA, 00187, ROMA, ITALY","Finance, Insurance, and Real Estate",Atlantia Spa
34,"VIA DEL LAURO 3, MILANO, 20121, MILANO, ITALY",Construction,Salini Costruttori Spa
35,"VIALE MONTE GRAPPA 3/5, MILANO, 20124, MILANO, ITALY",Services,Amazon Web Services Emea Sarl
36,"PIAZZA TRE TORRI 3, MILANO, 20145, MILANO, ITALY","Finance, Insurance, and Real Estate",Allianz Spa
37,"VIA FRANCESCO SFORZA, BASIGLIO, 20079, MILANO, ITALY","Finance, Insurance, and Real Estate",Mediolanum Vita Spa
38,"VIALE FULVIO TESTI 280, MILANO, 20126, MILANO, ITALY",Services,Engie Italia Spa
39,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY",Wholesale Trade,Enel Global Trading Spa
40,"VIA MOLINO ROSSO 8, IMOLA, 40026, BOLOGNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Hera Trading Srl
41,"PIAZZA FIDIA 1, MILANO, 20159, MILANO, ITALY","Finance, Insurance, and Real Estate",Alleanza Assicurazioni Spa
42,"VIA SAN PRIMO 4, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Marco Polo International Italy Srl
43,"VIA GENOVA 1, TRIESTE, 34121, TRIESTE, ITALY",Manufacturing,Fincantieri Spa
44,"VIA CAMPALTO 3/D, SAN MARTINO BUON ALBERGO, 37036, VERONA, ITALY","Finance, Insurance, and Real Estate",Eurospin Italia Spa
45,"VIA CARLO FELICE 35, SASSARI, 07100, SASSARI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",E-distribuzione Spa
46,"VIA MARTIRI DI CEFALONIA 67, SAN DONATO MILANESE, 20097, MILANO, ITALY",Construction,Saipem Spa
47,"VIALE REGINA MARGHERITA 125, ROMA, 00198, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Enel Produzione Spa
48,"VIA DON LORENZO PEROSI 6, SCANDICCI, 50018, FIRENZE, ITALY",Manufacturing,Guccio Gucci Spa
49,"VIALE PIERO E ALBERTO PIRELLI 25, MILANO, 20126, MILANO, ITALY","Finance, Insurance, and Real Estate",Pirelli & C. Spa
50,"PIAZZA TRE TORRI 3, MILANO, 20145, MILANO, ITALY","Finance, Insurance, and Real Estate",Unicredit Allianz Vita Spa
51,"VIA GUIDUBALDO DEL MONTE 45, ROMA, 00197, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Acquirente Unico Spa
52,"VIALE GERARD RICHARD GUMPERT 1, VERONA, 37137, VERONA, ITALY",Retail Trade,Volkswagen Group Italia Spa
53,"PIAZZA MARCELLO BOLDRINI 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",Manufacturing,Versalis Spa
54,"VIA DEI SETTE SANTI 3, FIRENZE, 50131, FIRENZE, ITALY",Manufacturing,A. Menarini Industrie Farmaceutiche Riunite Srl
55,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY","Finance, Insurance, and Real Estate",Barilla Holding Srl
56,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY","Finance, Insurance, and Real Estate",Guido M. Barilla E F.lli Sapa
57,"VIA MODENA 53, CASTELVETRO DI MODENA, 41014, MODENA, ITALY","Finance, Insurance, and Real Estate",Cremonini Spa
58,"VIA MODENA 53, CASTELVETRO DI MODENA, 41014, MODENA, ITALY","Finance, Insurance, and Real Estate",Cremofin Srl
59,"VIALE AVVOCATO GIOVANNI AGNELLI 10, ATESSA, 66041, CHIETI, ITALY",Manufacturing,Societa' Europea Veicoli Leggeri Sevel Spa
60,"VIA ABETONE INFERIORE 2, MARANELLO, 41053, MODENA, ITALY",Manufacturing,Ferrari - Societa'per Azioni Esercizio Fabbriche Automobili E Corse
61,"STRADA DELL'UNIVERSITA' 1, PARMA, 43121, PARMA, ITALY","Finance, Insurance, and Real Estate",Credit Agricole Vita Spa
62,"CONTRADA MARCELLINO C.P. 88 SNC, AUGUSTA, 96011, SIRACUSA, ITALY",Manufacturing,Sonatrach Raffineria Italiana Srl
63,"VIA VILLANOVA 29/7, CASTENASO, 40055, BOLOGNA, ITALY",Retail Trade,Coop Alleanza 3.0 Soc Coop
64,"VIA DEI LAGHI 31/33, CIVITELLA IN VAL DI CHIANA, 52041, AREZZO, ITALY",Manufacturing,Chimet Spa
65,"VIALE CERTOSA 249, MILANO, 20151, MILANO, ITALY","Finance, Insurance, and Real Estate",Riva Forni Elettrici Spa
66,"VIA FELICE MATTEUCCI 2, FIRENZE, 50127, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Nuovo Pignone Holding Spa
67,"VIA DI PORTA PINCIANA 4, ROMA, 00187, ROMA, ITALY","Finance, Insurance, and Real Estate",Zeor Finanziaria Spa
68,"VIA ALBERTO BERGAMINI 50, ROMA, 00159, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Autostrade Per L'italia Spa
69,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Trenitalia Spa
70,"VIA ENNIO QUIRINO VISCONTI 80, ROMA, 00193, ROMA, ITALY","Finance, Insurance, and Real Estate",Fideuram Vita Spa
71,"VIA BRESCIANI 16, GAZOLDO DEGLI IPPOLITI, 46040, MANTOVA, ITALY",Manufacturing,Marcegaglia Holding Srl
72,"VIA GUGLIELMO JERVIS 13, IVREA, 10015, TORINO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Vodafone Italia Spa
73,"FORO BUONAPARTE 31, MILANO, 20121, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Edison Energia Spa
74,"LOCALITA' SAN ZENO ZONA INDUSTRIALE STRADA A 32, AREZZO, 52100, AREZZO, ITALY",Manufacturing,Italpreziosi Spa
75,"PIAZZA LUIGI AMEDEO DUCA DEGLI ABRUZZI 2, TRIESTE, 34132, TRIESTE, ITALY","Finance, Insurance, and Real Estate",Assicurazioni Generali Spa
76,"VIA PLAVA 80, TORINO, 10135, TORINO, ITALY",Retail Trade,Groupe Psa Italia Spa
77,"VIA PIETRO PALEOCAPA 3, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Finanziaria D'investimento Fininvest Spa
78,"VIA GOITO 4, ROMA, 00185, ROMA, ITALY","Finance, Insurance, and Real Estate",Cassa Depositi E Prestiti Spa
79,"STRADA STATALE PER NOVI LIGURE 3/13, TORTONA, 15057, ALESSANDRIA, ITALY","Finance, Insurance, and Real Estate",Aurelia Srl
80,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",Wholesale Trade,A.i.a. Agricola Italiana Alimentare Spa
81,"PIAZZA NOGARA 2, VERONA, 37121, VERONA, ITALY","Finance, Insurance, and Real Estate",Banco Bpm Spa
82,"PIAZZALE OSTIENSE 2, ROMA, 00154, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Acea Spa
83,"VIA GIOVANNI DA VERRAZZANO 15, NOVARA, 28100, NOVARA, ITALY","Finance, Insurance, and Real Estate",B&d Holding Spa
84,"VIA GIOVANNI DA VERRAZZANO 15, NOVARA, 28100, NOVARA, ITALY","Finance, Insurance, and Real Estate",De Agostini Spa
85,"VIA CALDERA 21, MILANO, 20153, MILANO, ITALY",Retail Trade,Gs Spa
86,"VIA ANGELO SCARSELLINI 14, MILANO, 20161, MILANO, ITALY","Finance, Insurance, and Real Estate",Cnp Vita Assicurazione Spa
87,"VIA ANGELO SCARSELLINI 14, MILANO, 20161, MILANO, ITALY","Finance, Insurance, and Real Estate",Cnp Vita Assicura Spa
88,"VIA DEL RAME SNC, PERUGIA, 06134, PERUGIA, ITALY",Wholesale Trade,Pac 2000 A Soc Coop
89,"VIA ANTONIO FOGAZZARO 28, MILANO, 20135, MILANO, ITALY","Finance, Insurance, and Real Estate",Ludo Spa
90,"VIA LUNGARNO 1213-61, TERRANUOVA BRACCIOLINI, 52028, AREZZO, ITALY",Retail Trade,Prada Spa
91,"VIALE CERTOSA 239, MILANO, 20151, MILANO, ITALY",Manufacturing,Acciaierie D'italia Spa
92,"VIALE CERTOSA 239, MILANO, 20151, MILANO, ITALY",Manufacturing,Acciaierie D'italia Holding Spa
93,"VIA DURINI 1, MILANO, 20122, MILANO, ITALY","Finance, Insurance, and Real Estate",Allianz Global Investors Gmbh
94,"VIA ANGELO RIZZOLI 4, MILANO, 20132, MILANO, ITALY",Wholesale Trade,Sony Europe B.v.
95,"VIA ALESSANDRO ALGARDI 4, MILANO, 20148, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Sorgenia Spa
96,"VIA SAN PROTASO 5, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",F2i Er 1 Spa
97,"CORSO RE UMBERTO 10, TORINO, 10121, TORINO, ITALY","Finance, Insurance, and Real Estate",Fimedi Spa
98,"VIA LUIGI BUZZI 6, CASALE MONFERRATO, 15033, ALESSANDRIA, ITALY",Manufacturing,Buzzi Unicem Spa
99,"VIA MAROCCHESA 14, MOGLIANO VENETO, 31021, TREVISO, ITALY","Finance, Insurance, and Real Estate",Genertellife Spa
100,"VIA VALADIER 37, ROMA, 00193, ROMA, ITALY",Wholesale Trade,Logista Italia Spa
101,"VIALE PIERO E ALBERTO PIRELLI 25, MILANO, 20126, MILANO, ITALY",Manufacturing,Pirelli Tyre Spa
102,"VIA MOLINO ROSSO 8, IMOLA, 40026, BOLOGNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Hera Comm Spa
103,"GALLERIA SAN BABILA 4/A, MILANO, 20122, MILANO, ITALY",Retail Trade,Autogrill Spa
104,"PIAZZA DELLA CROCE ROSSA 1, ROMA, 00161, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Rete Ferroviaria Italiana Spa
105,"VIA DEL SOLE 34, ANDRIANO, 39010, BOLZANO, ITALY",Construction,Swietelsky Baugesellschaft M.b.h.
106,"VIALE DELLE NAZIONI 55, MODENA, 41122, MODENA, ITALY",Manufacturing,Cnh Industrial Italia Spa
107,"VIA DEI SANTI GIACOMO E FILIPPO 7, GENOVA, 16122, GENOVA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Iren Mercato Spa
108,"VIA ARMANDO DIAZ 248, SAN ZENO NAVIGLIO, 25010, BRESCIA, ITALY","Finance, Insurance, and Real Estate",Duferco Italia Holding Spa
109,"VIA DEL BOTTEGHINO 24/26, SCANDICCI, 50018, FIRENZE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Trasporti Internazionali Agenzia Marittima Savino Del Bene Spa
110,"VIA PIERO MARONCELLI 10, FORLI', 47121, FORLI'-CESENA, ITALY",Retail Trade,Unieuro Spa
111,"VIA XII OTTOBRE 1, GENOVA, 16121, GENOVA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Axpo Italia Spa
112,"VIA BIGLI 21, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Sind International Srl
113,"VIA NAZIONALE 41, BUTTRIO, 33042, UDINE, ITALY",Manufacturing,Danieli & C. Officine Meccaniche Spa
114,"ZONA A.S.I.CAPANNONE 18, GRICIGNANO DI AVERSA, 81030, CASERTA, ITALY",Retail Trade,Md Spa
115,"EX S.S. 114 KM 146 SNC, PRIOLO GARGALLO, 96010, SIRACUSA, ITALY",Manufacturing,Isab Srl
116,"CORSO REGINA MARGHERITA 165, TORINO, 10144, TORINO, ITALY","Finance, Insurance, and Real Estate",Astm Spa
117,"VIA AMASENO 24, LATINA, 04100, LATINA, ITALY",Services,Alessandro Patane' Srl
118,"VIA PUGLIA 15, TORINO, 10156, TORINO, ITALY",Manufacturing,Fpt Industrial Spa
119,"PIAZZALE LUIGI CADORNA 3, MILANO, 20123, MILANO, ITALY",Wholesale Trade,Luxottica Group Spa
120,"VIA LODOVICO SEITZ 47, TREVISO, 31100, TREVISO, ITALY","Finance, Insurance, and Real Estate",De' Longhi Spa
121,"VIA ENERGY PARK 14, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",Manufacturing,Bridgestone Europe Nv Sa
122,"PIAZZA IV NOVEMBRE 5, MILANO, 20124, MILANO, ITALY",Services,Gi Group Spa
123,"VIA EMILIO CORNALIA 30, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Cnp Unicredit Vita Spa
124,"VIALE EDOARDO JENNER 4, MILANO, 20159, MILANO, ITALY",Manufacturing,Mapei Spa
125,"VIA SASSOFERRATO 1, MILANO, 20135, MILANO, ITALY","Finance, Insurance, and Real Estate",Emme Esse Vi Srl
126,"VIA TORRI BIANCHE 6, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",Services,Nintendo Of Europe Gmbh
127,"PIAZZA SANTA BARBARA 7, SAN DONATO MILANESE, 20097, MILANO, ITALY","Finance, Insurance, and Real Estate",Snam Spa
128,"CORSO DI PORTA VITTORIA 4, MILANO, 20122, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",A2a Energia Spa
129,"VIA MARCHESE CAMPODISOLA 13, NAPOLI, 80133, NAPOLI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Grimaldi Group Spa
130,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",Services,Veronesi Holding Spa
131,"VIA FELICE MATTEUCCI 2, FIRENZE, 50127, FIRENZE, ITALY",Manufacturing,Nuovo Pignone International Srl
132,"VIA ENRICO MATTEI 50, DUEVILLE, 36031, VICENZA, ITALY","Finance, Insurance, and Real Estate",Gruppo Unicomm Spa
133,"VIA PALERMO 26/A, PARMA, 43122, PARMA, ITALY",Manufacturing,Chiesi Farmaceutici Spa
134,"STRADELLO MARCHE 6, PARMA, 43121, PARMA, ITALY","Finance, Insurance, and Real Estate",Valline Srl
135,"VIALE GIORGIO RIBOTTA 51, ROMA, 00144, ROMA, ITALY",Retail Trade,Eni Fuel Spa
136,"VIA FRATELLI DI DIO 2, NOVATE MILANESE, 20026, MILANO, ITALY","Finance, Insurance, and Real Estate",Comifar Spa
137,"STRADA PROVINCIALE ARCEVIESE 139/A, FABRIANO, 60044, ANCONA, ITALY",Manufacturing,Whirlpool Emea Spa
138,"VIA DELL'UNIONE EUROPEA 1, SAN DONATO MILANESE, 20097, MILANO, ITALY",Retail Trade,Bmw Italia Spa
139,"VIA BURE VECCHIA NORD 10, PISTOIA, 51100, PISTOIA, ITALY",Wholesale Trade,Conad Nord Ovest Societa' Cooperativa A R.l.
140,"VIA SANTA REPARATA 43, FIRENZE, 50129, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Unicoop Firenze Soc Coop
141,"VIA CAMPALTO 3/D, SAN MARTINO BUON ALBERGO, 37036, VERONA, ITALY",Wholesale Trade,Spesa Intelligente Spa
142,"PIAZZA SALIMBENI 3, SIENA, 53100, SIENA, ITALY","Finance, Insurance, and Real Estate",Banca Monte Dei Paschi Di Siena Spa
143,"VIALE GIUSEPPE MAZZINI 14, ROMA, 00195, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Rai Radiotelevisione Italiana Spa
144,"VIA PORTICI UMBERTO I 5/3, MALCESINE, 37018, VERONA, ITALY","Finance, Insurance, and Real Estate",De La Costa Srl
145,"VIA MONTE BALDO 20, VILLAFRANCA DI VERONA, 37062, VERONA, ITALY","Finance, Insurance, and Real Estate",Calzedonia Holding Spa
146,"PIAZZETTA GIORDANO DELL'AMORE 3, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Eurizon Capital Sgr Spa
147,"VIA AMILCARE PONCHIELLI 7, MILANO, 20129, MILANO, ITALY","Finance, Insurance, and Real Estate",Finiper Canova Group Spa
148,"VIA SAN CARLO 8/20, MODENA, 41121, MODENA, ITALY","Finance, Insurance, and Real Estate",Bper Banca Spa
149,"VIA DELLE INDUSTRIE 8, SPINEA, 30038, VENEZIA, ITALY","Finance, Insurance, and Real Estate",Gecos - Generale Di Commercio E Servizi Spa
150,"VIA DELLE INDUSTRIE 8, SPINEA, 30038, VENEZIA, ITALY",Wholesale Trade,Gruppo Pam Spa
151,"CIRCONVALLAZIONE IDROSCALO SNC, SEGRATE, 20054, MILANO, ITALY",Services,Ibm Italia Spa
152,"VIALE EUROPA 2, STEZZANO, 24040, BERGAMO, ITALY",Manufacturing,Brembo Spa
153,"VIA MONTE ORTIGARA 5, BERGAMO, 24121, BERGAMO, ITALY","Finance, Insurance, and Real Estate",Nuova Fourb Srl
154,"VIA MONTE PENICE 7, MILANO, 20138, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Sky Italia Srl
155,"VIA MANTOVA 166, PARMA, 43122, PARMA, ITALY",Manufacturing,Barilla G. E R. Fratelli Spa
156,"VIA ALBERTO NASSETTI PAL.ALFA SNC, FIUMICINO, 00054, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Alitalia Societa' Aerea Italiana Spa
157,"VIA GIOVANNI BATTISTA PIRELLI 19, MILANO, 20124, MILANO, ITALY",Services,Bolton Group Srl
158,"VIA GIOVANNI BATTISTA PIRELLI 19, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Factor Holding Srl
159,"VIA MONZAMBANO 10, ROMA, 00185, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Anas Spa
160,"VIA GAETANO DE CASTILLIA 6/A, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Maire Tecnimont Spa
