,company_location,company_industry,company_name
161,"VIA MIKE BONGIORNO 9, MILANO, 20124, MILANO, ITALY",Wholesale Trade,Samsung Electronics Italia Spa
162,"VIA TIBURTINA 1159, ROMA, 00156, ROMA, ITALY",Retail Trade,Renault Italia Spa
163,"CORSO COMO 17, MILANO, 20154, MILANO, ITALY","Finance, Insurance, and Real Estate",Axa Assicurazioni Spa
164,"VIA FURLANELLI 69, VERANO BRIANZA, 20843, MONZA E BRIANZA, ITALY",Retail Trade,Mediamarket Spa
165,"PIAZZA LODI 7, CREMONA, 26100, CREMONA, ITALY","Finance, Insurance, and Real Estate",Finarvedi Spa
166,"VIA SPILAMBERTO 30/C, CASTELVETRO DI MODENA, 41014, MODENA, ITALY",Manufacturing,Inalca Spa
167,"VIALE ALTIERO SPINELLI 30, ROMA, 00157, ROMA, ITALY","Finance, Insurance, and Real Estate",Banca Nazionale Del Lavoro Spa
168,"VIA FRANCESCO CARACCIOLO 51, MILANO, 20155, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Fastweb Spa
169,"VIALE DEL LAVORO 20, BELFIORE, 37050, VERONA, ITALY","Finance, Insurance, and Real Estate",Finbre Spa
170,"VIALE DEL LAVORO 20, BELFIORE, 37050, VERONA, ITALY",Retail Trade,Maxi Di Srl
171,"PIAZZA ADRIANO OLIVETTI 1, MILANO, 20139, MILANO, ITALY","Finance, Insurance, and Real Estate",Swisscom Italia Srl
172,"VIA BENIGNO CRESPI 23, MILANO, 20159, MILANO, ITALY","Finance, Insurance, and Real Estate",Zurich Investments Life Spa
173,"VIA DEL FANTE 21, VERONA, 37122, VERONA, ITALY","Finance, Insurance, and Real Estate",Arca Vita Spa
174,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY",Manufacturing,Agricola Tre Valli Societa' Cooperativa
175,"VIA MICHELINO 59, BOLOGNA, 40127, BOLOGNA, ITALY",Wholesale Trade,Conad Consorzio Nazionale Dettaglianti Soc Coop
176,"VIA DELLA PIOVOLA 138, EMPOLI, 50053, FIRENZE, ITALY",Services,Sesa Spa
177,"VIALE EGIDIO GALBANI 70, ROMA, 00156, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Terna Rete Elettrica Nazionale Spa
178,"VIA ENRICO STENDHAL 47, MILANO, 20144, MILANO, ITALY","Finance, Insurance, and Real Estate",Moncler Spa
179,"CORSO GIULIO CESARE 424/95/C, TORINO, 10156, TORINO, ITALY",Manufacturing,Michelin Italiana S.a.m.i. Spa
180,"VIA ENRICO MATTEI 42, BOLOGNA, 40138, BOLOGNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Brt Spa
181,"VIA LODOVICO SEITZ 47, TREVISO, 31100, TREVISO, ITALY",Manufacturing,De' Longhi Appliances Srl
182,"VIA DEL SERAFICO 89, ROMA, 00142, ROMA, ITALY",Retail Trade,Ford Italia Spa
183,"CONTRADA DELLA MISERICORDIA 14, VICENZA, 36100, VICENZA, ITALY","Finance, Insurance, and Real Estate",So.fi.d.a. Spa
184,"VIA LEOPOLDO SERRA 32, ROMA, 00153, ROMA, ITALY",Services,Arianna 2001 Spa
185,"VIA MATTEO CIVITALI 1, MILANO, 20148, MILANO, ITALY",Manufacturing,Recordati Industria Chimica E Farmaceutica Spa
186,"STRADA 8 PALAZZO N MILANOFIORI, ROZZANO, 20089, MILANO, ITALY",Retail Trade,Leroy Merlin Italia Srl
187,"VIA IGNAZIO GARDELLA 2, MILANO, 20149, MILANO, ITALY","Finance, Insurance, and Real Estate",Vittoria Assicurazioni Spa
188,"VIA ANSPERTO 7, MILANO, 20123, MILANO, ITALY","Finance, Insurance, and Real Estate",Vanini Holding Srl
189,"VIA ENRICO FERMI 13/F, VERONA, 37135, VERONA, ITALY",Manufacturing,Fedrigoni Spa
190,"VIALE BIANCA MARIA 24, MILANO, 20129, MILANO, ITALY","Finance, Insurance, and Real Estate",Gruppo Ipg Holding Spa
191,"VIA BORGONUOVO 14, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Bg Holding Srl
192,"VIA PIAVE 1, ALTAVILLA VICENTINA, 36077, VICENZA, ITALY",Manufacturing,Burgo Group Spa
193,"VIA FLAVIO GIOIA 8, MILANO, 20149, MILANO, ITALY","Finance, Insurance, and Real Estate",Gruppo Lactalis Italia Srl
194,"STRADA PROVINCIALE 130 ANDRIA-TRANI, TRANI, 76125, BARLETTA ANDRIA TRANI, ITALY","Finance, Insurance, and Real Estate",Megaholding Srl
195,"ZONA INDUSTRIALE DI BARAGIANO SNC, BALVANO, 85050, POTENZA, ITALY",Services,Betflag Spa
196,"VIA DEL PINO 1, EMPOLI, 50053, FIRENZE, ITALY",Wholesale Trade,Computer Gross Spa
197,"VIALE EUROPA 46, COLOGNO MONZESE, 20093, MILANO, ITALY",Services,Publitalia 80 Concessionaria Pubblicita' Spa
198,"VIA GUGLIELMO MARCONI 36, BOLOGNA, 40122, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Papiniano Spa
199,"STRADA CIPATA 79, MANTOVA, 46100, MANTOVA, ITALY",Manufacturing,Ies Italiana Energia E Servizi Spa
200,"VIA DEI MERCANTI 3, FORLI', 47122, FORLI'-CESENA, ITALY",Wholesale Trade,Commercianti Indipendenti Associati Soc Coop
201,"VIA ANTONIO SANT'ELIA, CORATO, 70033, BARI, ITALY","Finance, Insurance, and Real Estate",Casillo Partecipazioni Spa
202,"VIA DELL'INDUSTRIA 2, BREGANZE, 36042, VICENZA, ITALY","Finance, Insurance, and Real Estate",Otb Spa
203,"VIA NICOLA LORENZI 8, GENOVA, 16152, GENOVA, ITALY",Manufacturing,Ansaldo Energia Spa
204,"VIA VERIZZO 1030, PIEVE DI SOLIGO, 31053, TREVISO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Romeo Gas Spa
205,"VIA GIORGIO PERLASCA 20/C, FIDENZA, 43036, PARMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Sg Distribuzione Srl
206,"VIA GIUSEPPE VERDI 11, BERGAMO, 24121, BERGAMO, ITALY","Finance, Insurance, and Real Estate",Radicifin Sapa
207,"VIA BRIGATA LIGURIA 3/19, GENOVA, 16121, GENOVA, ITALY",Wholesale Trade,Alpha Trading Spa
208,"STRADA DELL'UNIVERSITA' 1, PARMA, 43121, PARMA, ITALY","Finance, Insurance, and Real Estate",Credit Agricole Italia Spa
209,"VIA GIOACCHINO ROSSINI 6/8, MILANO, 20122, MILANO, ITALY",Services,Manpower Srl
210,"PIAZZA DELLA REPUBBLICA 28, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Bennet Holding Spa
211,"PIAZZA DELLA REPUBBLICA 28, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Finmeg Srl
212,"VIA ENZO RATTI 2, MONTANO LUCINO, 22070, COMO, ITALY",Retail Trade,Bennet Spa
213,"VIA LEOPOLDO SERRA 32, ROMA, 00153, ROMA, ITALY",Services,Servizi In Rete 2001 Srl
214,"PONTE FRANCESCO MOROSINI 41, GENOVA, 16126, GENOVA, ITALY","Finance, Insurance, and Real Estate",Cosulich International Srl
215,"VIA DANTE ALIGHIERI 5, TRIESTE, 34122, TRIESTE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Fratelli Cosulich Spa
216,"VIA FERSINA 23, TRENTO, 38123, TRENTO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Dolomiti Energia Trading Spa
217,"PIAZZALE PIETRO FERRERO 1, ALBA, 12051, CUNEO, ITALY",Wholesale Trade,Ferrero Commerciale Italia Srl
218,"ZONA INDUSTRIALE SNC, LUOGOSANO, 83040, AVELLINO, ITALY",Wholesale Trade,Arcelormittal Commercial Italy Srl
219,"VIA DELLE SETTE REGOLE 21, SCANDICCI, 50018, FIRENZE, ITALY",Services,Arval Service Lease Italia Spa
220,"VIALE EUROPA 44/46 48, COLOGNO MONZESE, 20093, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Reti Televisive Italiane Spa
221,"VIA BARBERINI 28, ROMA, 00187, ROMA, ITALY","Finance, Insurance, and Real Estate",Caltagirone Spa
222,"CORSO SEMPIONE 55, MILANO, 20149, MILANO, ITALY","Finance, Insurance, and Real Estate",Nexi Payments Spa
223,"VIA ADELE BEI 340, CESENA, 47522, FORLI'-CESENA, ITALY",Retail Trade,Unicomm Srl
224,"PIAZZA GUGLIELMO MARCONI 25, ROMA, 00144, ROMA, ITALY","Finance, Insurance, and Real Estate",Hdi Assicurazioni Spa
225,"VIA MARCO ULPIO TRAIANO 57, MILANO, 20149, MILANO, ITALY",Retail Trade,Iper Montebello Spa
226,"VIA VIVARO 2, ALBA, 12051, CUNEO, ITALY","Finance, Insurance, and Real Estate",Egea Ente Gestione Energia E Ambiente Spa
227,"VIALE FRANCESCO CASSANI 14, TREVIGLIO, 24047, BERGAMO, ITALY","Finance, Insurance, and Real Estate",Sdf Spa
228,"VIA CARDINALE GUGLIELMO MASSAIA 83, TORINO, 10147, TORINO, ITALY",Services,Reply Spa
229,"VIA XX SETTEMBRE 58/C, BERGAMO, 24122, BERGAMO, ITALY","Finance, Insurance, and Real Estate",Sdf Holding Spa
230,"ZONA INDUSTRIALE, OSOPPO, 33010, UDINE, ITALY","Finance, Insurance, and Real Estate",Compagnia Siderurgica Italiana Srl
231,"ZONA INDUSTRIALE SNC, OSOPPO, 33010, UDINE, ITALY","Finance, Insurance, and Real Estate",Fin.fer. Spa
232,"VIA LUIGI SANI 1, REGGIO EMILIA, 42121, REGGIO EMILIA, ITALY","Finance, Insurance, and Real Estate",Credemvita Spa
233,"VIA I MAGGIO 99, RIVALTA DI TORINO, 10040, TORINO, ITALY","Finance, Insurance, and Real Estate",Ge Italia Holding Srl
234,"VIA DODICIVILLE 8, BOLZANO, 39100, BOLZANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Alperia Smart Services Srl
235,"VIA TERRAGLIO 17, VENEZIA, 30174, VENEZIA, ITALY",Retail Trade,Ovs Spa
236,"VIA EDEN FUMAGALLI, BRUGHERIO, 20861, MONZA E BRIANZA, ITALY",Manufacturing,Candy Hoover Group Srl
237,"VIA DEL RIO 400, CESENA, 47522, FORLI'-CESENA, ITALY","Finance, Insurance, and Real Estate",Francesco Spa
238,"PIAZZA BORROMEO 14, MILANO, 20123, MILANO, ITALY","Finance, Insurance, and Real Estate",Amadori Spa
239,"VIA ACHILLE GRANDI 18, BRESCIA, 25125, BRESCIA, ITALY",Wholesale Trade,Cooperativa Esercenti Farmacia Soc. Coop. A Rl
240,"VIA AGOSTINO BERTANI 2, MILANO, 20154, MILANO, ITALY","Finance, Insurance, and Real Estate",Centauro Srl
241,"VIA PADANA SUPERIORE 19, VIMODRONE, 20055, MILANO, ITALY","Finance, Insurance, and Real Estate",Tesya Spa
242,"VIA MAROSTICA 1, MILANO, 20146, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Alpiq Energia Italia Spa
243,"VIA MAROSTICA 1, MILANO, 20146, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Alpiq Italia Srl
244,"VIA MADRE ANNA MARIA ADORNI 1, PARMA, 43121, PARMA, ITALY",Construction,Impresa Pizzarotti & C. Spa
245,"VIA STAZIONE 4, COSIO VALTELLINO, 23013, SONDRIO, ITALY",Retail Trade,Autotorino Spa
246,"VIA GIACOMO VENTURI 1-2, VALSAMOGGIA, 40053, BOLOGNA, ITALY",Manufacturing,Philip Morris Manufacturing & Technology Bologna Spa
247,"VIALE LUIGI BODIO 37/B, MILANO, 20158, MILANO, ITALY",Manufacturing,Sanofi Srl
248,"CORSO ORBASSANO 367, TORINO, 10137, TORINO, ITALY",Services,Leasys Spa
249,"VIA PAOLO DI DONO 3/A, ROMA, 00142, ROMA, ITALY",Wholesale Trade,Unilever Italia Mkt. Operations Srl
250,"VIA LAVORATORI AUTOBIANCHI 1, DESIO, 20832, MONZA E BRIANZA, ITALY",Retail Trade,Decathlon Italia Srl
251,"PIAZZA GIUSEPPE GARIBALDI 4, SARZANA, 19038, LA SPEZIA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Hb Trading Spa
252,"VIA FRANCESCO BARACCA 2/4 6, APRILIA, 04011, LATINA, ITALY",Retail Trade,Eurospin Lazio Spa
253,"STRADA PROVINCIALE 130 ANDRIA-TRANI, TRANI, 76125, BARLETTA ANDRIA TRANI, ITALY",Wholesale Trade,Megamark Srl
254,"RIVIERA FRANCIA 9/11, PADOVA, 35127, PADOVA, ITALY",Manufacturing,Acciaierie Venete Spa
255,"RIVIERA FRANCIA 9/11, PADOVA, 35127, PADOVA, ITALY","Finance, Insurance, and Real Estate",Parsid Spa
256,"LUNGOSTURA LAZIO 3A, TORINO, 10100, TORINO, ITALY","Finance, Insurance, and Real Estate",Cnh Industrial N.v.
257,"VIA DEL MULINO 6, ASSAGO, 20057, MILANO, ITALY",Manufacturing,Nestle' Italiana Spa
258,"VIA CADRIANO 27/2, BOLOGNA, 40127, BOLOGNA, ITALY",Manufacturing,Granarolo Spa
259,"PIAZZALE GIULIO DOUHET 31, ROMA, 00143, ROMA, ITALY","Finance, Insurance, and Real Estate",Fideuram Intesa Sanpaolo Private Banking Spa
260,"CORSO SUSA 13/15, CASELETTE, 10040, TORINO, ITALY",Manufacturing,C.l.n. Coils Lamiere Nastri Spa
261,"VIA SALARIA 1039, ROMA, 00138, ROMA, ITALY","Finance, Insurance, and Real Estate",Ferfina Spa
262,"VIA SALARIA 1039, ROMA, 00138, ROMA, ITALY","Finance, Insurance, and Real Estate",Finanziaria Dei Dogi Srl
263,"PIAZZALE DELL'AGRICOLTURA 24, ROMA, 00144, ROMA, ITALY",Services,Engineering - Ingegneria Informatica Spa
264,"VIA CADRIANO 36, BOLOGNA, 40127, BOLOGNA, ITALY","Agriculture, Forestry, and Fishing",Granlatte Soc Coop Agricola A Rl
265,"VIA DELL'UNIONE 1, MILANO, 20122, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",E.on Energia Spa
266,"VIA XXV APRILE 23, SAN DONATO MILANESE, 20097, MILANO, ITALY",Wholesale Trade,Metro Italia Cash And Carry Spa
267,"VIA MARCHESE CAMPODISOLA 13, NAPOLI, 80133, NAPOLI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Grimaldi Euromed Spa
268,"VIALE GIORGIO RIBOTTA 11, ROMA, 00144, ROMA, ITALY",Services,Procter & Gamble Holding Srl
269,"VIA TOMACELLI 146, ROMA, 00186, ROMA, ITALY","Finance, Insurance, and Real Estate",Cassa Di Compensazione E Garanzia Spa
270,"VIALE LEONE TOLSTOJ 65, SAN GIULIANO MILANESE, 20098, MILANO, ITALY",Manufacturing,Tech Data Italia Srl
271,"VIALE GIOSUE' CARDUCCI 48, BOLOGNA, 40125, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Waterfall Italia Spa
272,"VIALE GIOSUE' CARDUCCI 48, BOLOGNA, 40125, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",I.d. 4 Italia Srl
273,"VIA DODICIVILLE 8, BOLZANO, 39100, BOLZANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Alperia Trading Srl
274,"VIA CIOVASSINO 1/A, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Sogefi Spa
275,"VIA JOHN FITZGERALD KENNEDY 5, CAMPEGINE, 42040, REGGIO EMILIA, ITALY",Wholesale Trade,Conad Centro Nord Soc Coop
276,"VIA VALPANTENA 18/G, VERONA, 37142, VERONA, ITALY","Agriculture, Forestry, and Fishing",Societa' Agricola La Pellegrina Spa
277,"VIA GIUSEPPE VERDI 8, BEDIZZOLE, 25081, BRESCIA, ITALY","Finance, Insurance, and Real Estate",Siderurgica Investimenti Srl
278,"VIA SOLFERINO 1, LODI, 26900, LODI, ITALY","Finance, Insurance, and Real Estate",Zucchetti Group Spa
279,"CORSO GIOVANNI LANZA 101, TORINO, 10133, TORINO, ITALY","Finance, Insurance, and Real Estate",Finde Spa
280,"VIALE THOMAS ALVA EDISON 110, SESTO SAN GIOVANNI, 20099, MILANO, ITALY","Finance, Insurance, and Real Estate",Shell Italia Holding Spa
281,"VIA BAIONE 200, MONOPOLI, 70043, BARI, ITALY","Finance, Insurance, and Real Estate",Marseglia Group Spa
282,"VIA GUGLIELMO MARCONI 24, ROZZANO, 20089, MILANO, ITALY",Retail Trade,Bricoman Italia Srl
283,"VIALE BIANCA MARIA 25, MILANO, 20122, MILANO, ITALY","Finance, Insurance, and Real Estate",Centurion Newco Spa
284,"CORSO NINO BIXIO 8, ALBA, 12051, CUNEO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Egea Commerciale
285,"PIAZZALE GUIDO DONEGANI 12, FERRARA, 44122, FERRARA, ITALY",Manufacturing,Basell Poliolefine Italia Srl
286,"FRAZIONE VALCOZZENA 10, AGORDO, 32021, BELLUNO, ITALY",Manufacturing,Luxottica Srl
287,"VIA MARE ADRIATICO 122, SPOLTORE, 65010, PESCARA, ITALY",Manufacturing,Fater Spa
288,"VIA MONTE NAPOLEONE 8, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",U.t. Communications Spa
289,"VIA OLANDA 2, PADOVA, 35127, PADOVA, ITALY",Retail Trade,Ali' Spa
290,"VIA LEONIDA BISSOLATI 20, ROMA, 00187, ROMA, ITALY",Wholesale Trade,Lukoil Italia Srl
291,"STRADA DEL PORTONE 95, GRUGLIASCO, 10095, TORINO, ITALY","Finance, Insurance, and Real Estate",Bitron Industrie Spa
292,"VIA OLANDA 2, PADOVA, 35127, PADOVA, ITALY","Finance, Insurance, and Real Estate",Ali' Group Srl
293,"VIA MECENATE 86, MILANO, 20138, MILANO, ITALY",Manufacturing,Epta Spa
294,"VIA MECENATE 86, MILANO, 20138, MILANO, ITALY","Finance, Insurance, and Real Estate",Epta Hdp Spa
295,"VIALE EUROPA 190, ROMA, 00144, ROMA, ITALY","Finance, Insurance, and Real Estate",Postepay Spa
296,"VIA RUGGERO BOSCOVICH 27, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Pini Holding Srl
297,"STRADA STATALE PER ALESSANDRIA 6/A, TORTONA, 15057, ALESSANDRIA, ITALY",Construction,Itinera Spa
298,"VIALE DELLA SCIENZA 25, VICENZA, 36100, VICENZA, ITALY",Manufacturing,Acciaierie Valbruna Spa
299,"STRADA PROVINCIALE 11 PADANA SUPERIORE 2/B, CERNUSCO SUL NAVIGLIO, 20063, MILANO, ITALY",Retail Trade,Penny Market Srl
300,"VIALE DEI LANIFICI 1, VALDAGNO, 36078, VICENZA, ITALY",Services,Valentino Spa
301,"VIA CUMIANA 14, RIVOLI, 10098, TORINO, ITALY",Manufacturing,Dana Graziano Srl
302,"VIA CARLO POMA 11, POMEZIA, 00071, ROMA, ITALY",Retail Trade,Iris Mobili Srl
303,"VIA PORTAMURATA 8/A, GUASTALLA, 42016, REGGIO EMILIA, ITALY",Manufacturing,Padana Tubi E Profilati Acciaio Spa
304,"VIA MOZZONI LOCALITA' S.DOMENICO, OTTAVIANO, 80044, NAPOLI, ITALY",Manufacturing,Adler Plastic Spa
305,"PIAZZA JOHN FITZGERALD KENNEDY 3, RAVENNA, 48121, RAVENNA, ITALY",Wholesale Trade,Cofco International Italy Srl
306,"VIA CRESCENTINO, SALUGGIA, 13040, VERCELLI, ITALY","Finance, Insurance, and Real Estate",Diasorin Spa
307,"LOCALITA' CASTELLUCCIO 11, CAPOLONA, 52010, AREZZO, ITALY",Manufacturing,T.c.a. Trattamenti Ceneri Auroargentifere Spa
308,"VIALE CESARE PAVESE 385, ROMA, 00144, ROMA, ITALY","Finance, Insurance, and Real Estate",Groupama Assicurazioni Spa
309,"CORSO LINO ZANUSSI 24, PORCIA, 33080, PORDENONE, ITALY",Manufacturing,Electrolux Italia Spa
310,"VIA UBALDO POLI 4, ZOLA PREDOSA, 40069, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Msc Societa' Di Partecipazione Tra Lavoratori Spa
311,"VIA CUNEO 34, CHERASCO, 12062, CUNEO, ITALY",Wholesale Trade,Dimar Spa
312,"CORSO GIULIO CESARE 268, TORINO, 10154, TORINO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Tnt Global Express Srl
313,"VIA GARBAGNATE 63, LAINATE, 20045, MILANO, ITALY",Wholesale Trade,Unico La Farmacia Dei Farmacisti Spa
314,"VIA AURELIA 915, ROMA, 00165, ROMA, ITALY",Wholesale Trade,Engycalor Energia Calore Srl
315,"VIA MICHELINO 105, BOLOGNA, 40127, BOLOGNA, ITALY",Wholesale Trade,Comet Spa
316,"VIA MICHELINO 105, BOLOGNA, 40127, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Comet Holding Spa
317,"CORSO VERCELLI 120/C, NOVARA, 28100, NOVARA, ITALY","Finance, Insurance, and Real Estate",Unione Farmaceutica Novarese
318,"VIA DEI TORNABUONI 2, FIRENZE, 50123, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Ferragamo Finanziaria Spa
319,"VIA I MAGGIO 99, RIVALTA DI TORINO, 10040, TORINO, ITALY",Manufacturing,Ge Avio Srl
320,"CORSO EUROPA 2, MILANO, 20122, MILANO, ITALY","Finance, Insurance, and Real Estate",Alrescha Investimenti Srl
321,"VIALE FRANCESCO CASSANI 15, TREVIGLIO, 24047, BERGAMO, ITALY",Manufacturing,Same Deutz Fahr Italia Spa
322,"VIA GIOVANNI BATTISTA PERGOLESI 25, MILANO, 20124, MILANO, ITALY",Wholesale Trade,Agora' Network Soc Cons.rl
323,"VIA DE MARINI 1, GENOVA, 16149, GENOVA, ITALY","Finance, Insurance, and Real Estate",Erg Spa
324,"VIA DE MARINI 1, GENOVA, 16149, GENOVA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Erg Power Generation Spa
325,"VIA MARTIN PIAGGIO 17/4, GENOVA, 16122, GENOVA, ITALY","Finance, Insurance, and Real Estate",San Quirico Spa
326,"VIALE DELLE INDUSTRIE SNC, VIMODRONE, 20055, MILANO, ITALY",Retail Trade,Unes Maxi Spa
327,"VIA BOLLADORE 64, SONDALO, 23035, SONDRIO, ITALY",Retail Trade,Iperal Supermercati Spa
