Company,Facebook,Twitter,Instagram,Pinterest
Canadian National Railway,87.146 persone seguono questa Pagina,20.618,10.9K follower,-
Stryker,23.964 persone seguono questa Pagina,903,17.5K follower,-
Nokia,12.757.344 persone seguono questa Pagina,"2,1 Mln",968K follower,-
Mitsubishi Electric,1.069.062 persone seguono questa Pagina,4.768,44 follower,-
Nissan Motor,22.018.035 persone seguono questa Pagina,215.403,6.6M follower,14 follower
Tata Steel,295.721 persone seguono questa Pagina,113.655,60.9K follower,-
Heineken,-,172.234,"4,067 follower",-
BAE Systems,84.555 persone seguono questa Pagina,108.541,29K follower,-
Etisalat,2.548.780 persone seguono questa Pagina,0,382K follower,-
BT Group,-,50.352,"2,015 follower",-
CTBC Financial,-,17,435 follower,-
Novatek,-,-,255 follower,-
Greenland Holdings Group,-,265,"2,509 follower",-
RWE Group,-,22.683,311 follower,-
Daikin Industries,108.908 persone seguono questa Pagina,-,-,-
Aegon,11.033 persone seguono questa Pagina,14.550,"3,106 follower",-
Baidu,61.351 persone seguono questa Pagina,105.546,641 follower,2 follower
Ericsson,1.773.565 persone seguono questa Pagina,273.220,51.3K follower,-
Canon,285.599 persone seguono questa Pagina,17.184,125K follower,-
Lennar,1.282.132 persone seguono questa Pagina,244.073,156K follower,"57,7mila follower"
Bank of Nanjing,-,-,-,-
Philips,-,3.054,24.2K follower,"11,8mila follower"
Keurig Dr Pepper,12.936.627 persone seguono questa Pagina,408,22 follower,-
China Yangtze Power,-,-,-,-
DNB Bank,431.279 persone seguono questa Pagina,6.817,25.1K follower,-
Emerson Electric,-,20.423,291 follower,-
Imperial Brands,-,7.119,579 follower,-
Boeing,1.556.548 persone seguono questa Pagina,655.776,1.6M follower,-
General Mills,109.607 persone seguono questa Pagina,104.828,75.1K follower,"5,7mila follower"
Axis Bank,3.649.613 persone seguono questa Pagina,428.290,216K follower,8 follower
National Bank of Canada,76.149 persone seguono questa Pagina,9.166,"9,560 follower",-
The Estée Lauder Companies,92.013 persone seguono questa Pagina,-,277K follower,"69,1mila follower"
CNH Industrial,121.362 persone seguono questa Pagina,12.364,169 follower,-
Fairfax Financial,-,933,328 follower,-
Adidas,41.104.718 persone seguono questa Pagina,"4,2 Mln",26.6M follower,686mila follower
Michelin Group,5.800.363 persone seguono questa Pagina,71.262,311 follower,"1,3mila follower"
Norfolk Southern,-,45.063,47.1K follower,663 follower
Principal Financial Group,70.033 persone seguono questa Pagina,16.242,"3,591 follower",-
Sempra,-,8.403,"1,911 follower",-
Fortum,112.443 persone seguono questa Pagina,7.468,"2,991 follower",-
Grupo Mexico,-,9.892,12.8K follower,0 follower
D.R. Horton,135.856 persone seguono questa Pagina,16.153,64.7K follower,"3,7mila follower"
L3Harris Technologies,60.569 persone seguono questa Pagina,20.331,27K follower,-
Naspers,-,7.603,592 follower,1 follower
Standard Bank Group,184.878 persone seguono questa Pagina,19.781,16.3K follower,303 follower
TC Energy,-,27.833,"5,042 follower",-
Norilsk Nickel,-,15.618,43 follower,-
Naturgy Energy Group,59.971 persone seguono questa Pagina,42.121,16.7K follower,-
Henkel,127.689 persone seguono questa Pagina,22.299,44.9K follower,-
MediaTek,3.628.671 persone seguono questa Pagina,91.787,50.1K follower,-
Recruit Holdings,-,7.820,101 follower,-
Hengli Petrochemical,-,-,9 follower,-
Xcel Energy,43.729 persone seguono questa Pagina,10.983,"4,772 follower",387 follower
Corteva,496.428 persone seguono questa Pagina,334,41.6K follower,-
Synchrony Financial,67.012 persone seguono questa Pagina,14.018,"9,947 follower",153 follower
Toyota Tsusho,-,196,"3,848 follower",-
Toyota Industries,281 persone seguono questa Pagina,223.537,5M follower,-
AstraZeneca,-,303.132,56.5K follower,-
Sunac China Holdings,-,-,-,-
China Evergrande Group,-,-,"1,331 follower",-
Bridgestone,494.127 persone seguono questa Pagina,101.381,99.1K follower,-
Emirates NBD,1.209.705 persone seguono questa Pagina,159.045,132K follower,-
Daiwa House Industry,-,102,66.9K follower,-
JD.com,40.095 persone seguono questa Pagina,92.787,"6,949 follower",-
Kinder Morgan,-,10.526,728 follower,-
China National Building,2 persone seguono questa Pagina,32,-,-
FirstRand,-,-,0 follower,-
Carrefour,11.899.304 persone seguono questa Pagina,90.108,57.5K follower,-
Fujitsu,71.244 persone seguono questa Pagina,71.934,"5,886 follower",31 follower
SEB AB,43.237 persone seguono questa Pagina,10.195,644 follower,-
Surgutneftegas,-,142,128 follower,-
New China Life Insurance,-,54,409 follower,-
Barrick Gold,193.070 persone seguono questa Pagina,58.506,23.6K follower,-
DSV Panalpina,82.419 persone seguono questa Pagina,4.606,435 follower,-
Talanx,-,1.578,0 follower,-
Vodafone,3.629.607 persone seguono questa Pagina,371.338,157K follower,"1,7mila follower"
Nintendo,5.398.542 persone seguono questa Pagina,-,116K follower,"47,4mila follower"
Hana Financial Group,254.606 persone seguono questa Pagina,12,49 follower,-
Hyundai Mobis,111.073 persone seguono questa Pagina,5.031,10.3K follower,0 follower
NTPC,-,41.127,18.7K follower,-
Maybank,2.402.975 persone seguono questa Pagina,206.937,147K follower,-
CME Group,102.882 persone seguono questa Pagina,689.915,13.9K follower,-
TAQA,-,6.108,"3,610 follower",0 follower
Pernod Ricard,-,19.658,"1,280 follower",430 follower
Bank Mandiri,364.806 persone seguono questa Pagina,214.334,531K follower,-
Femsa,1.358.930 persone seguono questa Pagina,211.118,102K follower,3 follower
Paccar,-,885,"1,755 follower",-
Consolidated Edison,38.114 persone seguono questa Pagina,43.283,"9,959 follower",-
Mitsui Fudosan,-,404,-,-
Evergreen Marine Corp. (Taiwan),-,50,"7,949 follower",-
Komatsu,-,37,60.4K follower,-
Shaanxi Coal Industry,-,-,-,-
Lenovo Group,214.531 persone seguono questa Pagina,735.362,25.9K follower,-
Fast Retailing,-,15,-,54 follower
London Stock Exchange,-,68.377,-,-
Vonovia,18.650 persone seguono questa Pagina,4.045,"7,901 follower",-
Aviva,942.701 persone seguono questa Pagina,43.089,41.7K follower,-
Sherwin-Williams,698.194 persone seguono questa Pagina,140.458,413K follower,-
Fujifilm Holdings,-,24.994,249K follower,-
Intuit,-,81.700,21.4K follower,"4,1mila follower"
Lam Research,-,23.520,"4,808 follower",-
Erste Group Bank,-,6.155,11.4K follower,-
Lincoln National,2795 persone seguono questa Pagina,10.690,-,-
Carrier Global,58.398 persone seguono questa Pagina,15.554,36.5K follower,-
DISH Network,4.078.070 persone seguono questa Pagina,108.455,22.6K follower,0 follower
China Coal Energy,-,5.235,-,-
Continental,58.424 persone seguono questa Pagina,965,134K follower,-
VTB Bank,268.841 persone seguono questa Pagina,19.110,106K follower,-
Murata Manufacturing,12.989 persone seguono questa Pagina,2.710,852 follower,-
Larsen & Toubro,-,-,-,-
Ally Financial,-,16.394,36.6K follower,-
NetEase,1.189.682 persone seguono questa Pagina,16.877,"8,413 follower",-
Bank Central Asia,271.971 persone seguono questa Pagina,138.919,524K follower,-
Volvo Car,239.469 persone seguono questa Pagina,242.749,1.5M follower,-
Intact Financial,32.909 persone seguono questa Pagina,4.638,"5,122 follower",-
Orsted,35.679 persone seguono questa Pagina,20.790,24.7K follower,25 follower
Cummins,482.079 persone seguono questa Pagina,124.922,154K follower,-
Williams,-,"1,7 Mln",2.3M follower,-
Capgemini,17.298 persone seguono questa Pagina,139.174,"3,092 follower",0 follower
Prologis,10.095 persone seguono questa Pagina,12.381,829 follower,-
Thales,69.974 persone seguono questa Pagina,83.463,15.7K follower,"1,1mila follower"
Bouygues,922.986 persone seguono questa Pagina,174.898,30.7K follower,606 follower
Banorte,901.358 persone seguono questa Pagina,80.827,33K follower,-
CK Asset Holdings,-,-,351 follower,-
Orange,24.364 persone seguono questa Pagina,31.438,96.1K follower,-
Kuehne & Nagel International,-,-,,-
Bunge,26.437 persone seguono questa Pagina,2.363,60 follower,-
Samsung Life Insurance,-,-,-,-
VMware,393.889 persone seguono questa Pagina,332.704,56.5K follower,"1,8mila follower"
Albertsons,484.562 persone seguono questa Pagina,31.637,28.5K follower,11mila follower
CRRC,749.483 persone seguono questa Pagina,19.300,95K follower,-
CBRE Group,569.469 persone seguono questa Pagina,134.328,79.2K follower,-
Toshiba,-,15.946,61.9K follower,97 follower
Samsung C&T,-,-,-,-
Infosys,871.148 persone seguono questa Pagina,503.882,279K follower,488 follower
Prudential,561.227 persone seguono questa Pagina,149.362,29.6K follower,"1,2mila follower"
Yankuang Energy Group,-,-,-,-
Canadian Pacific Railway,314.451 persone seguono questa Pagina,33.512,24.8K follower,-
Loews,62.265 persone seguono questa Pagina,46.457,30.7K follower,"3,8Mln follower"
Tokyo Electron,-,2.445,-,-
LG Electronics,45.586.422 persone seguono questa Pagina,379.413,44.5K follower,"12,1mila follower"
CSL,-,5.258,"1,934 follower",82 follower
Magna International,229.377 persone seguono questa Pagina,12.746,12.9K follower,-
Analog Devices,136.329 persone seguono questa Pagina,46.880,"8,009 follower",756 follower
Kubota,423.572 persone seguono questa Pagina,263,29.1K follower,-
Air Products & Chemicals,-,-,-,-
Newmont Mining,58.939 persone seguono questa Pagina,25.320,"3,104 follower",-
TE Connectivity,79.155 persone seguono questa Pagina,40.116,14.2K follower,-
Aon,44.559 persone seguono questa Pagina,39.644,"1,803 follower",51 follower
TELUS,911.016 persone seguono questa Pagina,129.282,86K follower,"26,6mila follower"
Dollar Tree,-,186.078,625K follower,"135,2mila follower"
WTW,1214 persone seguono questa Pagina,7.153,"7,327 follower",-
China Zheshang Bank,-,-,-,-
Wesfarmers,-,3.156,"3,336 follower",-
Suzuki Motor,145.717 persone seguono questa Pagina,11.062,1.1M follower,-
Best Buy,8.217.844 persone seguono questa Pagina,37.579,495K follower,"194,4mila follower"
SVB Financial Group,11.329 persone seguono questa Pagina,38.520,"7,835 follower",-
Advanced Micro Devices,3.076.545 persone seguono questa Pagina,"1,1 Mln",1.7M follower,"7,2mila follower"
Markel,1991 persone seguono questa Pagina,853,912 follower,-
Muyuan Foodstuff,-,10,-,-
Kimberly-Clark,401.306 persone seguono questa Pagina,29.595,16.3K follower,5 follower
Swedbank,114.508 persone seguono questa Pagina,8.650,16.8K follower,-
Cognizant,393.782 persone seguono questa Pagina,746.099,142K follower,773 follower
Corning,-,30.257,-,"17,4mila follower"
Infineon Technologies,230.855 persone seguono questa Pagina,15.768,10.5K follower,-
Citizens Financial Group,174.772 persone seguono questa Pagina,25.136,29.9K follower,"1,7mila follower"
Devon Energy,49.422 persone seguono questa Pagina,15.138,"3,423 follower",-
Asahi Group Holdings,-,6,"3,739 follower",-
JSW Steel,303.525 persone seguono questa Pagina,44.511,32.3K follower,-
Lumen Technologies,4326 persone seguono questa Pagina,6.533,"2,735 follower","47,9mila follower"
Regions Financial,291.661 persone seguono questa Pagina,203,"1,634 follower","1,6mila follower"
Svenska Handelsbanken,31.909 persone seguono questa Pagina,6.639,"3,162 follower",-
Raymond James Financial,-,16.614,"4,394 follower",0 follower
BYD,178.055 persone seguono questa Pagina,33.959,49.7K follower,-
Illinois Tool Works,-,130,"1,547 follower",-
Pinduoduo,-,8.304,"1,508 follower",4 follower
Activision Blizzard,-,182.205,1.4M follower,-
Liberty Global,6874 persone seguono questa Pagina,7.826,998 follower,-
Colgate-Palmolive,111.173 persone seguono questa Pagina,36.499,22.1K follower,-
SSE,102.094 persone seguono questa Pagina,33.681,"2,315 follower",-
Nan Ya Plastics,-,-,-,-
Vivendi,-,9.701,413 follower,-
Baxter International,17.442 persone seguono questa Pagina,15.877,"4,484 follower",-
Fosun International,-,8.069,-,-
Weichai Power,-,720,827 follower,-
Fidelity National Financial,-,137,-,-
Parker-Hannifin,22.450 persone seguono questa Pagina,17.249,"9,181 follower",436 follower
Vedanta Limited,19.858 persone seguono questa Pagina,31.786,11.6K follower,-
Woori Financial Group,-,-,0 follower,-
Sysco,103.690 persone seguono questa Pagina,15.201,62.1K follower,315 follower
Telstra,914.459 persone seguono questa Pagina,118.123,47.9K follower,-
Credit Suisse Group,160.226 persone seguono questa Pagina,380.322,16.9K follower,-
Rogers Communications,705.285 persone seguono questa Pagina,116.307,42.5K follower,386 follower
M&T Bank,-,-,-,-
Boston Scientific,58.775 persone seguono questa Pagina,38.707,"2,138 follower",3 follower
Edison International,24.446 persone seguono questa Pagina,3.327,-,-
Financiere de l'Odet,-,-,"6,499 follower",0 follower
Sumitomo Mitsui Trust,-,145,-,-
Entergy,-,20.397,12.9K follower,-
Swisscom,293.362 persone seguono questa Pagina,52.002,34.7K follower,1 follower
EnBW-Energie Baden,-,15.870,-,-
Hikvision,-,11.374,112K follower,-
Nippon Yusen,-,4.845,"7,358 follower",-
Stanley Black & Decker,-,-,-,-
Oneok,-,3.530,"1,319 follower",-
Marriott International,470.715 persone seguono questa Pagina,442.371,238K follower,"4,9mila follower"
Warner Bros. Discovery,331.782 persone seguono questa Pagina,153.344,239K follower,-
S.F. Holding,-,-,-,-
Delta Air Lines,-,"1,6 Mln",1.2M follower,"3,3mila follower"
Bharat Petroleum,2.189.487 persone seguono questa Pagina,411.182,137K follower,-
Halliburton,307.485 persone seguono questa Pagina,62.548,33.9K follower,-
Metallurgical Corp of China,-,-,123 follower,-
Northern Trust,-,18.358,"5,029 follower",-
HeidelbergCement,-,-,796 follower,166 follower
China Steel,-,1.352,-,-
Eversource Energy,24.124 persone seguono questa Pagina,10.124,"5,876 follower",-
Sany Heavy Industry,-,58,42.7K follower,-
Hermès International,-,18.367,12.4M follower,-
International Paper,-,9.011,"1,213 follower",-
Koç Holding,-,-,-,-
Nidec,-,571,"1,454 follower",-
Meituan,-,2.887,91 follower,-
Kotak Mahindra Bank,1.547.655 persone seguono questa Pagina,308.081,168K follower,428 follower
Teck Resources,30.113 persone seguono questa Pagina,14.867,-,-
Southwest Airlines,6.076.539 persone seguono questa Pagina,"2,1 Mln",827K follower,"30,4mila follower"
Deutsche Boerse,7 persone seguono questa Pagina,23.875,"4,283 follower",-
Labcorp,11.065 persone seguono questa Pagina,7.108,"5,071 follower",5 follower
China Tower Corp.,-,-,-,-
Inpex,-,125,"1,164 follower",-
Coca-Cola European Partners,-,9.702,912 follower,-
Wuliangye Yibin,168 persone seguono questa Pagina,27,24 follower,-
Shimao Property Holdings,-,-,"2,219 follower",-
Idemitsu Kosan,-,9,"2,751 follower",-
Formosa Petrochemical,-,-,-,-
Crown Castle International,-,3.312,"1,220 follower",-
FirstEnergy,-,9.383,123 follower,-
Rongsheng Petrochemical,-,-,-,-
Hindalco Industries,-,4.479,"5,377 follower",-
Bank Of Hangzhou,-,-,-,-
Renault,18.710.558 persone seguono questa Pagina,76.467,92K follower,-
International Holding Company,-,474,"2,183 follower",-
International Holding Company,-,474,"2,183 follower",-
Cincinnati Financial,20.621 persone seguono questa Pagina,-,"1,462 follower",-
Mitsubishi Estate,-,-,-,-
Cleveland-Cliffs,4677 persone seguono questa Pagina,-,-,-
Grupo ACS,-,2.693,106 follower,0 follower
CGN Power,1078 persone seguono questa Pagina,2.175,328 follower,-
ASE Technology Holding,-,38,114 follower,-
JFE Holdings,-,389,-,-
DTE Energy,71.577 persone seguono questa Pagina,29.842,"4,091 follower",-
China Hongqiao Group,31.283 persone seguono questa Pagina,298,48.1K follower,-
NXP Semiconductors,87.067 persone seguono questa Pagina,57.249,"3,920 follower",4 follower
Western Digital,241.879 persone seguono questa Pagina,175.384,22.1K follower,-
Booking Holdings,15.714.526 persone seguono questa Pagina,10.534,2.3M follower,-
Aeon,287.626 persone seguono questa Pagina,167.905,43.4K follower,37 follower
First Republic Bank,91.030 persone seguono questa Pagina,45.943,"6,799 follower",-
Lufax Holding,-,485,-,-
Atlas Copco,66.443 persone seguono questa Pagina,20.035,29.4K follower,-
Fidelity National Information (FIS),27.001 persone seguono questa Pagina,-,"5,635 follower",-
Mitsubishi Chemical,-,863,18K follower,-
Edp-energias De Portugal,-,89,35.9K follower,-
Kyocera,-,9.284,"1,558 follower",55 follower
Xiamen C&D,-,-,-,-
AutoZone,3.061.697 persone seguono questa Pagina,40.514,73.4K follower,816 follower
China Taiping Insurance,20.449 persone seguono questa Pagina,86,336 follower,-
Cenovus Energy,13.289 persone seguono questa Pagina,25.408,"3,126 follower",-
Neste,37.900 persone seguono questa Pagina,21.726,13.7K follower,-
Porsche Automobil Holding,-,28,"1,780 follower",-
H&M - Hennes & Mauritz,-,-,-,-
RELX,-,17.256,29.7K follower,11 follower
PG&E,-,-,-,-
Republic Services,76.425 persone seguono questa Pagina,14.139,"9,171 follower",112 follower
Ross Stores,-,3.587,504K follower,"1,7mila follower"
WEC Energy Group,479 persone seguono questa Pagina,632,989 follower,-
Cardinal Health,-,17.430,478 follower,71 follower
CarMax,-,37.540,47.5K follower,-
China Development Financial,-,506,-,-
Riyad Bank,295.130 persone seguono questa Pagina,576.762,111K follower,-
Thomson Reuters,-,158.329,39.7K follower,-
Transneft,-,-,-,-
Ferguson,-,781.626,35K follower,-
IQVIA,61.235 persone seguono questa Pagina,15.585,12.2K follower,-
Hong Kong Exchanges,-,14.125,-,-
PPG,102.411 persone seguono questa Pagina,34.980,23.2K follower,-
Legend Holding,-,-,130 follower,-
Ecolab,54.869 persone seguono questa Pagina,22.853,21.5K follower,88 follower
Sinopharm Group,-,-,-,-
Luxshare Precision Industry,-,71,-,-
Seazen Group,-,-,"3,095 follower",0 follower
Global Payments,-,5.338,"1,076 follower",10 follower
China Energy Engineering,-,69.859,53 follower,-
Safran,318.630 persone seguono questa Pagina,89.302,45.3K follower,-
S&P Global,-,-,-,-
Huntington Bank,265.452 persone seguono questa Pagina,22.704,"9,253 follower",-
Arch Capital Group,-,58,167 follower,-
Jackson Financial,31.662 persone seguono questa Pagina,3,385 follower,-
Bank Leumi,-,5.122,14 follower,-
Trane Technologies,8814 persone seguono questa Pagina,9.386,"3,002 follower",-
Veolia Environnement,-,37.145,-,-
O'Reilly Automotive,687.066 persone seguono questa Pagina,40.826,59.2K follower,163 follower
Biogen,20.920 persone seguono questa Pagina,44.687,280 follower,-
Publicis Groupe,84.894 persone seguono questa Pagina,77.062,38.8K follower,-
Hanwha,1092 persone seguono questa Pagina,-,"1,633 follower",-
The Mosaic Company,8055 persone seguono questa Pagina,9.605,344 follower,-
Bharti Airtel,10.296.466 persone seguono questa Pagina,142.719,559K follower,-
Daqin Railway,-,-,-,-
Uber,22.133.081 persone seguono questa Pagina,1 Mln,1.4M follower,"4,7mila follower"
STMicroelectronics,54.128 persone seguono questa Pagina,40.835,19.4K follower,-
Gemdale,-,17.626,80 follower,-
Ageas,3165 persone seguono questa Pagina,2.353,"5,084 follower",-
Quanta Computer,-,727,70 follower,-
George Weston,-,11,644 follower,-
Weyerhaeuser,18.920 persone seguono questa Pagina,5.541,"6,105 follower",-
Korea Electric Power,-,18.942,36.4K follower,-
Fox,-,"1,4 Mln",1.1M follower,-
Mitsubishi Heavy Industries,-,140.572,"1,152 follower",2 follower
Steel Dynamics,-,1.436,464 follower,-
Keyence,-,2.153,"1,602 follower",-
Longi Green Energy Technology,184.651 persone seguono questa Pagina,30.249,-,-
Reckitt Benckiser Group,324.735 persone seguono questa Pagina,21.621,15.3K follower,-
Coal India,-,61.278,"8,932 follower",-
Aisin Seiki,-,15,"1,020 follower",-
Digital Realty Trust,4357 persone seguono questa Pagina,24.807,"2,096 follower",-
Tata Motors,-,341.509,240K follower,-
Resona Holdings,22.040 persone seguono questa Pagina,25.406,-,-
Simon Property Group,6432 persone seguono questa Pagina,5.268,"3,887 follower",-
Industrial Bank of Korea,-,2.151,108K follower,-
CLP Holdings,-,5,1 follower,-
National Bank of Kuwait,271.593 persone seguono questa Pagina,592.106,635K follower,-
SingTel,576.600 persone seguono questa Pagina,42.115,38.9K follower,-
Coinbase,405.171 persone seguono questa Pagina,"5,5 Mln",401K follower,2 follower
CenterPoint Energy,54.359 persone seguono questa Pagina,16.571,813 follower,-
Saudi Arabian Mining,-,-,"2,584 follower",-
China Cinda Asset Management,-,-,"5,083 follower",-
Asahi Kasei,-,255,"8,268 follower",-
NEC,2.209.694 persone seguono questa Pagina,47.144,"2,483 follower",1 follower
United Airlines Holdings,1.514.856 persone seguono questa Pagina,"1,1 Mln",946K follower,"3,5mila follower"
MGM Resorts,191.240 persone seguono questa Pagina,75.759,142K follower,"2,1mila follower"
DSM,-,171.792,"8,160 follower",-
Telkom Indonesia,525.550 persone seguono questa Pagina,149.866,551K follower,-
PKN Orlen,211.730 persone seguono questa Pagina,35.801,28.3K follower,-
Guotai Junan Securities,-,-,50 follower,-
Norsk Hydro,78.145 persone seguono questa Pagina,8.999,12.2K follower,-
Formosa Plastics,-,5,-,-
NRG Energy,36.249 persone seguono questa Pagina,24.716,"7,038 follower",-
Public Bank,-,-,"5,513 follower",-
TCL,5.532.982 persone seguono questa Pagina,19.616,-,"1,3mila follower"
Huatai Securities,-,-,-,-
Kellogg,42.394 persone seguono questa Pagina,114.958,10.8K follower,"2,3mila follower"
Inner Mongolia Yili,-,-,-,-
WPP,-,131.781,34K follower,-
Omnicom Group,-,21.268,10.5K follower,12 follower
Sekisui House,-,989,"3,600 follower",-
Cheniere Energy,-,4.824,5 follower,-
Sandvik,-,12.860,37.9K follower,-
Siam Cement,-,39,-,-
East Japan Railway,-,208,411 follower,-
Abu Dhabi Commercial Bank,-,45.966,30.9K follower,-
Huishang Bank,-,-,-,-
Great Wall Motor,-,40.293,21K follower,-
Haitong Securities,-,51,123 follower,-
Dongfeng Motor Group,2097 persone seguono questa Pagina,120,326 follower,-
China Reinsurance Group,-,-,-,-
Henderson Land,5152 persone seguono questa Pagina,860,"6,591 follower",-
Samsung SDI,-,471,-,-
Fortis (Canada),-,2.807,"3,101 follower",-
SK Telecom,1.467.292 persone seguono questa Pagina,213.213,525K follower,-
HAL Trust,-,-,211 follower,-
Banco Btg Pactual,245.808 persone seguono questa Pagina,69.847,515K follower,-
Baker Hughes Company,162.674 persone seguono questa Pagina,70.249,28.3K follower,172 follower
Gallagher,-,"3,6 Mln",1.6M follower,-
Everest Re Group,-,163,105 follower,-
Amphenol,4709 persone seguono questa Pagina,1.101,922 follower,-
American Airlines Group,2.695.316 persone seguono questa Pagina,"1,6 Mln",1.1M follower,"3,4mila follower"
KLA,-,4.089,40.8K follower,137 follower
Astellas Pharma,-,52.010,-,-
Otsuka Holding,-,8.281,-,-
China Bohai Bank,-,-,-,-
Kasikornbank,3.014.522 persone seguono questa Pagina,335.161,50.7K follower,-
Bank Hapoalim,-,2.464,14.6K follower,-
Woodside Petroleum,12.679 persone seguono questa Pagina,10.059,"3,985 follower",-
MTR,3980 persone seguono questa Pagina,1.400,27.9K follower,-
Tatneft,-,-,"1,098 follower",-
Power Finance,-,16.907,"1,701 follower",-
Zoetis,82.753 persone seguono questa Pagina,15.404,39.2K follower,-
Lonza Group,55.408 persone seguono questa Pagina,7.966,"5,404 follower",-
Eiffage,-,20.324,"9,048 follower",-
Sumitomo Chemical,-,326,591 follower,-
Vertex Pharmaceuticals,-,69.761,"6,449 follower",-
Constellation Energy,31.578 persone seguono questa Pagina,12.938,"2,148 follower",62 follower
CIFI Holdings Group,-,-,-,-
Raiffeisen Bank International,-,3.080,-,-
Whirlpool,639.984 persone seguono questa Pagina,32.298,"8,017 follower",-
Siemens Energy,23.425 persone seguono questa Pagina,186.324,-,-
WestRock,20.301 persone seguono questa Pagina,7.162,"6,282 follower",-
Samsung Fire & Marine,-,-,-,-
US Steel,-,8.315,"1,247 follower",-
UPM-Kymmene,10.185 persone seguono questa Pagina,11.744,712 follower,-
Formosa Chemicals,-,135,-,-
SK Innovation,-,23,56 follower,-
Telia,203.600 persone seguono questa Pagina,61,17.6K follower,166 follower
T&D Holdings,-,-,-,-
Mapfre,2.076.530 persone seguono questa Pagina,48.141,36.1K follower,-
HCL Technologies,1.392.188 persone seguono questa Pagina,452.780,80.3K follower,-
Sumitomo Realty,-,-,16.1K follower,-
Westlake Chemical,3144 persone seguono questa Pagina,16,-,-
Apollo Global Management,-,5.487,"1,492 follower",-
United Rentals,113.380 persone seguono questa Pagina,7.349,10.6K follower,0 follower
Diamondback Energy,-,-,648 follower,-
Otis Worldwide,24.957 persone seguono questa Pagina,13.433,19.9K follower,-
Chongqing Rural Bank,-,400,-,-
Ball,23.972 persone seguono questa Pagina,"1,3 Mln",-,-
Stora Enso,15.685 persone seguono questa Pagina,11.959,12.6K follower,151 follower
Yang Ming Marine Transport,-,-,-,-
Phoenix Group Holdings,-,4.326,464 follower,0 follower
Wipro,1.434.626 persone seguono questa Pagina,543.794,126K follower,"1,5mila follower"
Power Grid of India,-,29.550,-,-
Absa Group,-,73.054,29.7K follower,-
Novolipetsk Steel,-,665,-,-
Sumitomo Electric,-,138,"1,795 follower",0 follower
St. James's Place,-,4.912,"4,937 follower",-
Grasim Industries,-,7.448,"1,218 follower",-
Segro,-,5.479,515 follower,-
Mega Financial Holding,-,7,-,-
Zhongsheng Group Holdings,-,-,-,-
Shin Kong Financial,-,-,-,-
CMS Energy,-,17.244,"4,629 follower",-
Quinenco,-,776,"1,020 follower",-
Evonik Industries,38.232 persone seguono questa Pagina,17.003,12.1K follower,-
East Money Information,-,-,3.871 follower,-
QBE Insurance Group,-,5.865,-,-
Tenaga Nasional,437.016 persone seguono questa Pagina,37.605,54.3K follower,-
Naver,-,-,17K follower,-
TDK,-,1.175,"1,552 follower",-
Nomura,-,16.114,12K follower,-
Jinke Property Group,-,-,"6,287 follower",-
Tokyo Electric Power,-,22.390,-,-
CDW,115.413 persone seguono questa Pagina,44.611,"2,893 follower",206 follower
The Hershey Company,54.830 persone seguono questa Pagina,15.155,377K follower,"118,3mila follower"
ITC,-,-,"1,483 follower",45 follower
Pgnig Group,-,-,"2,710 follower",-
MTN Group,-,20.904,"3,086 follower",46 follower
Compass Group,-,15.540,"1,045 follower",-