"Company name","Lakh sqft","Address","Start date current status","Clients"
"Tidel Park","15","Taramani","2000","iNautix, CTS, EDS, Ford, HCL Technologies Ltd, Sify, TCS, AJUBA, Quscient Technologies (IT&BPO), WILLIAMS LEA, Thinksoft Global Services, Tenneco, Trimble Navigation, Cisco Systems Inc, Hexaware Technologies"
"Olympia Tech Park","13","Guindy","2006","HP, Verizon, ABN Amro, Visteon, Hewitt, Merril,AIGSS, Force10 Networks, iSharp"
"SRM Tech Park","34","Potheri","2008","SRM University"
"Bahwan CyberTek IT Park","1.8","Thorappakkam","2006","Zafin Labs, Beroe Consulting India Pvt. Ltd., Identive Technologies India Pvt., Ltd.,"
"IITM Research Park","1","Taramani","2008","Tata Consultancy Services, Cognizant Technology Solutions India Private Ltd., ARCI, AMADA Soft India, EPMCR, Maveric Systems, ThinkEquity, The Centre of Excellence in Wireless Technology (CEWiT), NMS, TCOE, Converteam, GoodEarth Maritime Limited, Madras Engineering Industries, Yalamanchili, Net Access (India) Private Limited, TATA Elxsi Limited, Villgro, Reverse Informatics, XMOS Semiconductor India Pvt. Ltd, Sconce Solutions"
"Ceedeeyes Tech Park","1.48","Thorappakkam","2006","TCS"
"ETL Infrastructure - Chennai One","12","Thorappakkam","2006","TCS, SIEMENS (ATOS), Wipro, GMT, GDES, Sutherland, HCL, Polaris, Ford, Prodapt"
"TEK Meadows","6.35","sholinganallur,Taramani","2006","Aviva, EDS, Ford,Flextronics"
"Quanta Engineers","0.89","Teynampet","2006","Kanbay (Cap Gemini)"
"Ascendas Stage III","7.42","Taramani","2010","Market simplified, OFS"
"ASV suntech Park","4","Okkiam Thorappakkam","2006","Cognizant (CTS), Capgemini, Ajuba, US Technology, Cisco"
"Marg Digital Zone II","2","Karappakkam","2006","TCS"
"Marg square","2","Karappakkam","2006",""
"L&T Estancia IT SEZ","","Guduvancheri, GST Road","","Zoho Corporation Private Limited"
"Ascendas stage I","5","Taramani","2006","Amazon, Siemens, Caterpiller, Inautix, Visual Graphics, Dow Corning, Object Frontier"
"Bascon IT park","1.2","T.Nagar","2006","Alphion, Scope, Airtel. Irevna"
"Prince Infocity","3","Kandanchavadi","2006","KLA Tencor,Insoft.com Pvt Ltd, D&B Transunion, Maersk Global Service Centres"
"Prince Info City II","8","Kandanchavadi","Completed","Prodapt Solutions Pvt. Ltd, 3i Infotech, Tata Teleservices Ltd, Thinksoft Global Services Ltd. , Atmel R&D India Pvt Ltd. Episource India Pvt Ltd"
"Arihant Technopolis","2.3","Perungudi","2006","HCL"
"ASV Ramana Tech Park","","37 & 38 Venkatnarayana Road Chennai -17","2007","Quintegra, DS - Simulia India"
"A.R Foundations - Acropolis","2.1","149. Dr. radhakrishnan salai Mylapore","2007","Oracle, Geo logistics, Thomson Reuters, Visual Graphics India/Mckinsey & Company Global F&A SSC"
"Pioneer Asia - Tamarai Tech Park","4.4","Guindy industrial estate","2007","Dow Chemicals,Ericsson India Global Services Pvt ltd, ABCO Advisory Services India (Pvt) ltd., Softura (Pvt) ltd.Softura (Pvt) ltd.,"
"ETA Ascon - (ETA Tech Park-SEZ)","4.4","Chennai-SEZ ETA-Navalur","2007","HCL"
"Ramaniyam - Baid Hi-Tech Park","0.8","Tiruvanmiyur","2007","Extreme Networks, TnQ Books & Journals"
"Appaswamy/XS real - The futura","5.7","334 OM Road (opp MTL) Sholinganallur","2007","PayPal (eBay company), MBit Wireless"
"Rayala corporation - Rayala Technopark","1.4","Kottivakkam","2007","Alcatel, e4e, R Systems International Limited, Beroe Consulting India Pvt. Ltd."
"Vishranthi homes - stargate","3.18","Perungudi","2007","Cognizant"
"Citilights freedom/pacifica","11","Navalur","2008",""
"Ascendas stage II","10","Taramani","2008","Wipro (CITI Technology Services), Lion Bridge, Ingersoll Rand India Pvt. ltd"
"RMZ Millenia - Phase II","17","Taramani","2008",""
"MPL SILICON TOWERS","1.6","Pallikaranai","2009","Barry Wehmiller, Prizm, Scintel"
"Prince Info Park (IT)","3","Ambattur Industrial Estate","Completed","Optimus,Slash Support,Datamark Prodapt,Lasersoft, Sparsh BPO,Intelenet,Adrenalin eSystems Limited and First Source."
"Shapoorji Pallonji Infocity(SP Infocity)","18","kandanchavadi","Completed","Ericsson Global, Hapag-Lloyd, Amazon, Lister Technologies, Saksoft, HSBC, Citi, Neeyamo Technologies, QBurst, Solarwinds Technologies and Siemens,ChargeBee Technologies."
"Prince foundations - Technopark","3","Semmenchery","UC",""
"Aroha e-serve","0","","Planning",""
"Allied Investments & housing - (unnamed)","3","Ekattur","PLANNING",""
"Prestige Polygon IT park","","","PLANNING",""
"Best & Crompton","20","Ambattur","PLANNING",""
"Alliance Galleria","40","Pallavaram","PLANNING",""
"Alliance Orchid Tech Park","2.5","Ambattur","PLANNING",""
"TNPL","4","Ambattur","PLANNING",""
"Puravankara","1.71","148, OMR, Okkiyam, Thoraipakkam, Chennai-96","PLANNING",""
"Narendra Properties- Devi","","LB road","PLANNING",""
"RMZ Guindy (HTPL Site)","16","Guindy","PLANNING",""
"Navin's WSS Towers","","107, Harris Road, (erstwhile Chitra Talkies), Mount Road, Chennai-600 002, Call: 9841046609","Completed","HCL, ONGC"
"RCTECH","","3D, Mercury Apartments, Pantheon Road, Egmore, Chennai â€“ 600 008. India.","",""
"Ramky wavoo developers","2.5","Siruseri",""
"Tidel Park III","21","Taramani","UC",""
"Olympia Tech Park II-Pallavaram","8","Pallavaram","PLANNING",""
"ceebros - IT park","","Thorappakkam","PLANNING",""
"Vishranthi homes Oceanic tech park","3","40 South Canal Bank Santhome","UC",""
"S.P. Ramesh IT City","2.18","LB Road, Tiruvanmiyur","UC",""
"Rattha co - TEK heights","","","UC",""
"ROVERCO (rattha)- Times square","3.25","MRC Nagar","UC",""
"RR Towers Industries phase 4","2.2","Guindy industrial estate","Completed","Quadrant four Systems Corporation"
"TVH - cybervalley","6","Perungudi","UC",""
"KG Builders - 360 degrees","2","232/1 Dr. MGR SalaiNorth Veeranam Salai OMR Bypass Road Perungudi","Completed","Temenos, Sofgen"
"Bharathkumar Kamdar - (Prince Tech park?)","1.9","Thoraippakkam","UC",""
"Maansarovar properties - Techno creek","2.5","Kottivakkam","UC",""
"ceebros (seshachalam building??)","2.3","76 Anna salai Teynampet","UC",""
"Bhanumathi & others - (unnamed)","0.93","Perungudi","UC",""
"Rajiv Sampat & others (co??) - (unnamed)","0.8","402/403 Pantheon Rd Egmore","UC",""
"Keyaram Hotels - (unnamed)","1.09","1 Harrington Rd Chetpet","UC",""
"R. Ramanathan (co??) - (unnamed)","0.71","70 Spurtank Rd Chetpet","UC",""
"Lancor Gesco - (unnamed)","2","Alwarpet","UC",""
"Exceed ESPEE IT park","1.86","ekkaduthangal guindy industrial estate","UC","Applied Materials India, Aricent"
"Pradeep Bhandari (co??) - unnamed","0.7","Whites Road Royappet","",""
"Chaitanya group - (unnamed)","0.6","venkatnarayana rd T.Nagar","UC",""
"Arihant insight","3.3","PlotNo.24 Ambattur Industrial Estate","UC",""
"ESPEE IT Park","Plot-5 NP Jawaharlal Nehru road","1.3","","UC"
"DLF -IT park (SEZ)","70","Porur - Manappakkam","Completed","L&T Technology Services, L&T Infotech, GROUPON, PearsonEnglish, TCS, Nue Life Healthcare, iGate Patni, IBM, Symantec, NTT Data, E-serve, Adventity, CSC, Dell Services, Syntel, Secova, Petrofac, Virtusa, GRO, Photon Interactive, Plintron Global Technologies, Cognizant, Sutherland, Mphasis, Technosoft, AEL DATASERVICES LLP, Raqmiyat, Zoho Corporation Private Limited, Logica, Barclays, Lapiz Online, Thirdware,Multicoreware Inc."
"ESTRA SEZ","45","Porur - Ayyapanthangal Opposite Ramachandra Medical College (Will be employing 50,000 people)","UC",""
"TCG group/WS - IT park","1.7","Porur","UC","HP has taken up this whole IT Park"
"Vishranthi homes Jayanth Techpark","2.4","Porur - Nandambakkam","UC",""
"Mayfair Exports - (unnamed)","1.24","Porur - Manappakkam","UC",""
"Shanthi Builders - (unnamed)","2.08","113/114 Kamaraj Salai Mylapore","UC",""
"Ramaniyam - Bristol","0.8","Guindy","UC",""
"Akshaya Homes - stanz park","1.9","Kazhipattur","UC",""
"Ascendas Mahindra city IT park","10.5","Mahindra city.","UC",""
"Reliance Tech Park","4","Koyambedu","UC",""
"Shriram The Gateway SEZ","50","Perungalathur, GST Road","UC","Accenture, Mahindra Satyam, ReDIM Information Systems, Mobius, Sybrant, Take, Trianz, Redington"
"RR skyline","24","Ambattur industrial Estate","UC",""
"Alpha city -SSPDL","4.8","Navalur","2008","IBM-Daksh, National Management School & Newt Global"
"Ramaniyam - Kamak towers","0.5","Ekkaduthangal","UC","Contus (company), GE Countrywide, conver team"
"Arihant - (unnamed)","1.4","Tiruvanmiyur","UC",""
"Ampa Infospace","5","Nelson Manickam Rd","UC",""
"Ramaniyam Greeta","2.8","Perungudi","UC",""
"S.P. Infocity","2.7","Perungudi Tharamani Link Road off OMR (Old Mamallapuram Road)","UC","Amazon.com, Chronus Corporation, Athenahealth Inc., Solarwinds,Lister Technologies Pvt. Ltd.,ChargeBee Technologies."
"Menakur Infrastructure (e-Platinum)","8","Navalur","UC",""
"Prestige Cybertowers","5","Sholinganallur","UC",""
"Robin estates Bridgetown IT park","1.25","OMR","UC",""
"Indus cityscape - Techscape towers","2.5","OMR","UC",""
"Rattha Tek Towers","","","UC",""
"Jayasree Financiers - (unnamed)","1.43","Sholinganallur","UC",""
"R.Rajagopal (co??) - (unnamed)","1.4","Okkiam Torappakkam","UC",""
"Harindar singh & others (co??) - (unnamed)","1.73","Okkiam Torappakkam","UC",""
"Tirupurasundhari & others (co??) - (unnamed)","1.3","Pallikaranai","UC",""
"Aravind IT park","0.5","Karappakkam","UC",""
"Landmarvel IT park","","Siruseri","UC",""
"Maansarovar properties - Maan sarovar Heights","3.9","Semmenchery","UC",""
"Resurgent Investments- (unnamed)","1.9","Sholinganallur","UC",""
"Ambattur Clothing Co (The Ambit)","12","Ambattur","2008","CSS, iOpEx"
"Appaswamy/Chaitanya - e-gate","2.5","292 OM Road Sholinganallur","UC",""
"KK agarwal co - (unnamed)","2.4","Sholinganallur","UC",""
"Krishnan Sivagami Trust","0.98","Keelkottaiyur village (Kelambakkam)","UC",""
"Arun Fabricators - (unnamed)","1.6","Navalur","UC",""
"Kerry jost engg co - (unnamed)","1.5","Ambattur industrial estate","UC",""
"Yekediar farms - (unnamed)","2.1","Okkiam Torappakkam","UC",""
"Matrix towers - (SSPDL)","2.5","Perungudi","UC",""
"Succons OKI Infotech Park","1.20","Navallur","",""
"India Land Tech Park","24","Ambattur Industrial Estate","Completed","Royal Bank of Scotland,Vodafone Essar, Telebuy, KONE Elevators, Dell, HCL, TCS and ICICI Bank - Head office"
"TECCI Park","6","OMR,Karapakkam,Chennai-600083","Completed","Uninor,Vestas,Valeo, First source, Qmax."
